Frame,ID,Corner1_X,Corner1_Y,Corner2_X,Corner2_Y,Corner3_X,Corner3_Y,Corner4_X,Corner4_Y,Distance,Yaw,Pitch,Roll
273,0,408.0,63.0,467.0,59.0,472.0,119.0,415.0,123.0,0.8792723625826105,7.713847000477741,-155.22296343863962,-1.835666631198431
274,0,412.0,31.0,470.0,27.0,473.0,86.0,415.0,90.0,0.8951210001867519,4.069682980824801,-177.61074255457842,-2.698254154491753
287,0,228.0,27.0,288.0,23.0,294.0,83.0,236.0,87.0,0.9171917501480505,-12.742270860716847,-152.44862942002706,-7.992555566151017
288,0,122.0,12.0,187.0,8.0,195.0,68.0,131.0,74.0,0.8790742802317869,-10.860653807514405,177.97204555726663,-8.153182924967423
308,0,681.0,56.0,746.0,55.0,745.0,118.0,681.0,117.0,0.8361091176429702,20.345724107136526,-144.04059099173324,5.822923859526718
316,1,615.0,84.0,640.0,88.0,637.0,114.0,611.0,112.0,1.9789136875158675,-8.31952180095087,-169.00402262051156,4.4796437310252735
317,1,672.0,99.0,698.0,103.0,694.0,129.0,669.0,126.0,1.9978234174064033,-5.514602617502523,-175.32675751324166,6.299956611565839
318,1,702.0,120.0,727.0,122.0,724.0,149.0,698.0,146.0,2.0228013180523146,25.78468341598376,-161.55367884275313,12.393942255608074
319,1,705.0,120.0,732.0,123.0,728.0,151.0,702.0,151.0,1.819076315545718,-13.711685964326865,-164.70724861548922,-0.08986117123702171
320,1,712.0,116.0,740.0,118.0,736.0,147.0,708.0,144.0,1.888776270227947,21.91254209988286,-164.49468950602184,10.834678251143924
321,1,737.0,115.0,765.0,116.0,762.0,145.0,735.0,143.0,1.9006932457594585,29.845355748442664,-158.6967993778134,11.227495099808374
322,1,752.0,111.0,781.0,113.0,778.0,142.0,750.0,141.0,1.8440420086308786,-2.5480070243749986,-171.92542719434374,2.357555390996312
323,1,725.0,92.0,752.0,93.0,750.0,123.0,721.0,123.0,1.7930902591911242,-9.472242276783644,-162.8953307747914,-1.3634402202327784
324,1,688.0,106.0,714.0,107.0,712.0,136.0,684.0,136.0,1.823261992660904,-11.530350622832055,-161.51943905401012,-1.712675772284664
325,1,658.0,88.0,686.0,90.0,684.0,121.0,656.0,119.0,1.735616128475453,-13.72630151729626,-171.77416380204073,0.325799997813416
326,1,657.0,92.0,686.0,94.0,683.0,124.0,654.0,123.0,1.7684168158577411,-5.403566811494056,-164.6590582853821,1.5558140875588318
327,1,669.0,80.0,699.0,82.0,696.0,114.0,667.0,113.0,1.6722458080767684,-12.000846370826714,-167.61214018178097,-0.4335836541925595
328,1,663.0,75.0,694.0,77.0,691.0,109.0,661.0,108.0,1.6733476883274794,-7.092589264543639,-168.06948687135477,0.8148336282719247
329,1,643.0,73.0,674.0,76.0,671.0,109.0,640.0,107.0,1.6137115243221967,-10.292991520580234,-169.7145783798059,1.6897493650905817
330,1,664.0,73.0,696.0,76.0,693.0,108.0,661.0,107.0,1.6401720600177458,-1.29730366048257,-170.64560129748386,3.2786100253957233
331,1,676.0,75.0,709.0,78.0,704.0,113.0,673.0,111.0,1.534499445313765,-12.604633759901064,-165.85798268642822,0.8068863432277885
332,1,674.0,83.0,707.0,85.0,704.0,121.0,671.0,119.0,1.507396004236084,-10.614217031082765,-168.75294754090567,0.5700708277845713
333,1,663.0,73.0,697.0,75.0,695.0,112.0,660.0,110.0,1.4648363164544216,-8.555540090738626,-171.28013218392454,0.9550375384246265
334,1,648.0,99.0,684.0,100.0,682.0,139.0,647.0,138.0,1.374961944985721,-12.733361447879112,-170.31097464209444,-1.6043020752509425
335,1,676.0,98.0,714.0,99.0,712.0,137.0,674.0,137.0,1.3978990922867596,3.0718016275299913,-170.95834239478327,1.5678598324323925
336,1,676.0,98.0,714.0,99.0,712.0,137.0,674.0,137.0,1.3978990922867596,3.0718016275299913,-170.95834239478327,1.5678598324323925
337,1,703.0,120.0,742.0,124.0,739.0,165.0,700.0,163.0,1.2679872251282305,-10.351023021633692,-174.76480657856024,1.9624901273032458
338,1,713.0,117.0,755.0,120.0,752.0,163.0,710.0,161.0,1.2280431965838878,-4.2487185376725645,-175.18342371212913,2.428613709059981
339,1,732.0,109.0,777.0,111.0,773.0,157.0,730.0,155.0,1.1755526444996838,32.09885794962621,-156.85523663827556,11.288893006490275
340,1,732.0,122.0,777.0,124.0,774.0,171.0,730.0,169.0,1.1431515338620009,-6.6736034462873315,-174.58294092416222,1.03059346023868
